,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
0,SVC_sig-calib,ternary,LDA,0.6125564673676893,0.2958608944852487,0.5305739296568325,0.5935716545063177,0.4773215846263404,0.7212824541466902,155.56916599273683,3.5162649631500242
1,LogRegCV_b_acc,ternary,resampled_LDA,0.5655126429946163,0.34418521434379606,0.5627901428958639,0.5727205660434984,0.5577030582481666,0.7456803649252307,3.21959547996521,0.004525995254516602
2,LogRegCV_b_f1,ternary,resampled_LDA,0.5655126429946163,0.34418521434379606,0.5627901428958639,0.5727205660434984,0.5577030582481666,0.7456803649252307,3.236928606033325,0.002407693862915039
3,LogRegCV_b_balacc,ternary,resampled_LDA,0.5655126429946163,0.34418521434379606,0.5627901428958639,0.5727205660434984,0.5577030582481666,0.7456803649252307,3.270568037033081,0.001900959014892578
4,LinearSVC_sig-calib,ternary,resampled_LDA,0.5652446463228429,0.34602210871848066,0.5640147391456538,0.5717789103246813,0.557642266009922,0.7443099415761371,54.42281303405762,0.02117581367492676
5,LinearSVC_b_sig-calib,ternary,resampled_LDA,0.5651737068419138,0.3459237453186164,0.5639491635457443,0.5717108888621945,0.5575791114028175,0.7443136389169842,54.934899711608885,0.02081131935119629
6,LogRegCV_f1,ternary,resampled_LDA,0.5650207447434721,0.3453300587580273,0.5635533725053515,0.5721622417149529,0.5581975637383508,0.7458067725081403,2.8353009700775145,0.003728771209716797
7,LogRegCV_balacc,ternary,resampled_LDA,0.5650207447434721,0.3453300587580273,0.5635533725053515,0.5721622417149529,0.5581975637383508,0.7458067725081403,2.971633768081665,0.007240962982177734
8,LinearSVC_b,ternary,resampled_LDA,0.5649989824428999,0.3464467406588581,0.5642978271059054,0.5716942919399531,0.55829994200282,0.6686198047358622,16.51866250038147,0.004970979690551758
9,LogRegCV_acc,ternary,resampled_LDA,0.5648971114706676,0.3457571665512986,0.563838111034199,0.5719324728151876,0.558248354039503,0.7459785048975016,3.313727617263794,0.0009931564331054688
10,LinearSVC,ternary,resampled_LDA,0.5642083538447894,0.3463337196960631,0.5642224797973754,0.5708365577069936,0.5579224426550813,0.6685242378694005,16.46162142753601,0.0011031150817871094
11,RidgeCV_acc,ternary,resampled_LDA,0.5635729099976721,0.3475034778103621,0.5650023185402414,0.5700477446058325,0.5584760513644704,0.6690969704013794,0.1381681442260742,0.0019044876098632812
12,RidgeCV_b_acc,ternary,resampled_LDA,0.5635729099976721,0.3475034778103621,0.5650023185402414,0.5700477446058325,0.5584760513644704,0.6690969704013794,0.14163894653320314,0.00020008087158203126
13,RidgeCV_balacc,ternary,resampled_LDA,0.5635729099976721,0.3475034778103621,0.5650023185402414,0.5700477446058325,0.5584760513644704,0.6690969704013794,0.17096056938171386,0.0012029647827148438
14,RidgeCV_b_balacc,ternary,resampled_LDA,0.5635729099976721,0.3475034778103621,0.5650023185402414,0.5700477446058325,0.5584760513644704,0.6690969704013794,0.17797985076904296,0.00040078163146972656
15,RidgeCV_b_f1,ternary,resampled_LDA,0.5635729099976721,0.3475034778103621,0.5650023185402414,0.5700477446058325,0.5584760513644704,0.6690969704013794,0.23788995742797853,0.003726959228515625
16,RidgeCV_f1,ternary,resampled_LDA,0.5635729099976721,0.3475034778103621,0.5650023185402414,0.5700477446058325,0.5584760513644704,0.6690969704013794,0.2548882484436035,0.004113054275512696
17,SGD_b_iso-calib,ternary,resampled_LDA,0.563060714251351,0.34908329841108915,0.5660555322740595,0.5695537411079041,0.5591309440503549,0.743522577063539,0.9853209018707275,0.044586992263793944
18,SGD_iso-calib,ternary,resampled_LDA,0.5629705709166617,0.3492551297720556,0.5661700865147037,0.5695392327889722,0.559369335632425,0.7435161938069957,0.939503288269043,0.042958974838256836
19,LinearSVC_b_iso-calib,ternary,resampled_LDA,0.5619205796713878,0.34910908405959534,0.5660727227063969,0.5685207498969058,0.559281516831102,0.743873763093254,53.41248941421509,0.04069504737854004
20,LinearSVC_iso-calib,ternary,resampled_LDA,0.561811268742307,0.34894103982272623,0.5659606932151509,0.5684088737657116,0.5591471895378283,0.7438723605016422,52.855294132232665,0.045065879821777344
21,SGD_b,ternary,resampled_LDA,0.561540984989816,0.3494521126795317,0.5663014084530211,0.5679948706659161,0.5593783487092239,0.6696491695330928,0.21844377517700195,0.0
22,SGD,ternary,resampled_LDA,0.5611729531987536,0.34982745669734505,0.56655163779823,0.567498136652344,0.5592855013126087,0.6697812202655892,0.1914740562438965,0.0005928993225097657
23,GaussianNB_sig-calib,ternary,resampled_LDA,0.5596013289384678,0.34561189865664355,0.5637412657710958,0.56757821731509,0.5591029191367317,0.7422385426021434,0.507663631439209,0.02713437080383301
24,GaussianNB_iso-calib,ternary,resampled_LDA,0.559136011778787,0.3465552155252497,0.5643701436834998,0.5665057914998595,0.5587329214707237,0.7437148631872599,0.17992854118347168,0.042214488983154295
25,SVC,ternary,resampled_LDA,0.557845768653783,0.3503901337967098,0.5669267558644733,0.5648851500443122,0.5603775020444287,0.6701099212736478,173.70528216361998,1.6487975597381592
26,SVC_iso-calib,ternary,resampled_LDA,0.556764214214469,0.34969943553974003,0.5664662903598268,0.56418515510157,0.560356096502794,0.7355675654349112,515.895916557312,6.635183668136596
27,SVC_sig-calib,ternary,resampled_LDA,0.5562011813865271,0.34951136216843215,0.5663409081122881,0.563425386477417,0.559798770695142,0.7259257977496235,469.14298305511477,6.223177099227906
28,GaussianNB,ternary,resampled_LDA,0.556148982206268,0.3467972946608692,0.564531529773913,0.5641693590445804,0.5595483095953435,0.7436751185219318,0.06286592483520508,0.009375429153442383
29,GaussianNB_balacc,ternary,resampled_LDA,0.5560741722924352,0.3470032688488239,0.564668845899216,0.5640606664466381,0.5596176756956942,0.743775709802312,3.5863429069519044,0.004117012023925781
30,SGD_sig-calib,ternary,resampled_LDA,0.5661183368290945,0.34587272109984607,0.5639151473998975,0.5725838013086932,0.5575022881136232,0.7439790011716639,1.1983873844146729,0.023237323760986327
31,SGD_b_sig-calib,ternary,resampled_LDA,0.5664111409968026,0.34634727986943437,0.5642315199129563,0.5727938675781588,0.5577236491199024,0.7440231519103152,1.309300470352173,0.02327113151550293
32,LogRegCV_b_f1,ternary,LDA,0.5736706642073365,0.35110653091237287,0.5674043539415818,0.5802300827792913,0.5626120213618886,0.7504887899627166,2.1583154678344725,0.0033231735229492187
33,LogRegCV_b_acc,ternary,LDA,0.5740177659081349,0.3517053697575129,0.5678035798383418,0.5804989898000682,0.5629646051786322,0.7506917065666859,2.253098726272583,0.0022078514099121093
34,SVC,ternary,LDA,0.6118446845873043,0.29657727885688684,0.5310515192379246,0.5938894614202932,0.4807536436947412,0.6471956598182484,68.68854684829712,0.9214143753051758
35,LinearSVC,ternary,LDA,0.6109661836866247,0.29333792454435553,0.5288919496962371,0.5940831147606065,0.48182486666685626,0.6462846194329088,6.492171955108643,0.003524446487426758
36,SVC_iso-calib,ternary,LDA,0.61052778762982,0.3009625721022588,0.5339750480681725,0.5943866296295922,0.4872648151821105,0.7390428383994287,158.87285742759704,3.4896817207336426
37,LinearSVC_iso-calib,ternary,LDA,0.6102492931462751,0.3028134853437491,0.535208990229166,0.5957966411267808,0.4916651754817819,0.7468633154569557,18.71022000312805,0.0412783145904541
